hex9,value
89196ba8c5bffff,0
89196b05d4fffff,0
89196bb4b6bffff,0
891fa496187ffff,0
89196b3203bffff,1
89196ba8207ffff,0
89196b325d7ffff,0
89196ba9027ffff,0
89196ba1867ffff,0
89196b32d6fffff,0
89196b330bbffff,0
891969693c7ffff,0
89196ba664fffff,0
891fa496643ffff,0
89196b04d0fffff,0
89196ba416fffff,1
89196ba86a7ffff,0
89196baf5d7ffff,0
89196ba8cc3ffff,0
89196ba2a3bffff,0
89196bb4c63ffff,0
89196bac26fffff,0
89196bb4e33ffff,0
89196b32a33ffff,0
89196bacb43ffff,0
89196ba9c5bffff,0
891fa496423ffff,0
89196b336bbffff,0
89196b14863ffff,0
89196ba716fffff,0
89196b300cfffff,0
89196ba5ca7ffff,0
8919696aeb3ffff,0
89196b14db3ffff,0
89196bac8cfffff,0
89196ba1843ffff,0
89196b06577ffff,0
89196ba0a67ffff,0
89196ba4a73ffff,0
8919696ac3bffff,0
89196ba8d2bffff,0
891fa492523ffff,0
89196ba0cc7ffff,0
891fa492553ffff,0
891fa496c17ffff,0
89196ba9087ffff,0
89196ba58d7ffff,1
89196969c87ffff,0
89196b14e3bffff,0
89196ba8653ffff,0
89196ba6293ffff,0
89196baac87ffff,0
89196baeecbffff,0
89196969a33ffff,0
89196ba96c3ffff,0
89196b3b4dbffff,0
89196bab017ffff,0
89196b04123ffff,0
89196b30417ffff,1
89196b14dd3ffff,0
89196b06c53ffff,0
89196b05b9bffff,0
89196ba92d7ffff,0
89196baa133ffff,0
89196bac9bbffff,0
89196ba626bffff,0
89196ba70abffff,0
89196ba83abffff,0
89196bac96bffff,0
8919696994fffff,0
89196bb5d37ffff,0
89196baeb67ffff,0
89196ba51cfffff,1
89196bad4b7ffff,0
89196ba40c7ffff,0
89196ba9e4fffff,0
89196ba1137ffff,0
89196b32a9bffff,0
89196bb9bc7ffff,0
89196b0596bffff,0
89196baaca3ffff,0
89196bb4a5bffff,0
89196bb58c7ffff,0
89196baceabffff,0
89196ba4917ffff,0
891969685b7ffff,0
89196baf39bffff,0
89196baa3b7ffff,0
89196baa0abffff,0
89196b04573ffff,0
89196ba9273ffff,0
89196ba6067ffff,0
891fa49659bffff,0
89196ba987bffff,0
89196ba8ccbffff,0
89196ba497bffff,0
89196ba0d8bffff,0
89196badd67ffff,0
89196bab68fffff,0
89196bac9dbffff,0
89196ba6abbffff,0
89196ba5b07ffff,0
89196ba5c5bffff,1
89196ba703bffff,0
89196968427ffff,0
89196b05823ffff,0
89196baaeabffff,0
89196ba1c6fffff,0
89196b32dc7ffff,0
89196bae6cfffff,0
89196b061c3ffff,0
89196ba9d37ffff,0
89196ba1917ffff,0
89196ba943bffff,0
89196bae37bffff,0
89196ba442fffff,0
89196ba898fffff,0
89196baa25bffff,0
891fa493493ffff,0
89196b04a5bffff,0
89196ba49b3ffff,0
89196bac457ffff,0
89196b3280bffff,0
89196baf393ffff,0
89196b06d9bffff,0
89196b06b87ffff,0
89196b064dbffff,0
89196ba40cfffff,0
891fa492d2bffff,0
89196b32e0bffff,0
89196b3654fffff,0
891fa4929b3ffff,0
89196b36597ffff,0
89196bb4337ffff,0
89196ba1833ffff,0
89196b30117ffff,0
89196bad88bffff,1
8919696990bffff,0
891fa49359bffff,0
89196ba6807ffff,0
89196ba7517ffff,0
89196ba0a0bffff,0
89196ba4b7bffff,0
89196ba81c7ffff,0
89196ba61d3ffff,0
89196bade53ffff,0
89196baab07ffff,0
89196bad68bffff,0
89196ba1947ffff,0
89196bb4eb7ffff,0
89196bad6a3ffff,0
89196ba6127ffff,0
89196baa07bffff,0
89196969507ffff,0
89196bae847ffff,0
89196ba5b4fffff,0
89196b148afffff,0
89196badca3ffff,0
89196b06a0fffff,0
89196b0512bffff,0
89196bab213ffff,0
89196ba6a6bffff,0
89196b328d7ffff,0
89196bac253ffff,0
89196ba6b6fffff,0
89196ba4303ffff,0
89196b325abffff,0
89196bad1afffff,0
89196ba8b5bffff,0
89196ba1a73ffff,0
89196ba580bffff,0
89196b360d7ffff,0
89196ba2963ffff,2
89196b04147ffff,0
89196baf51bffff,0
89196ba9e7bffff,0
89196ba8087ffff,0
89196b374a7ffff,0
89196bab04fffff,0
89196baeecfffff,0
89196baea57ffff,0
89196b14953ffff,0
89196ba4537ffff,0
891fa4935dbffff,0
89196ba1a4fffff,0
89196968acbffff,0
89196b043cfffff,0
8919696906fffff,0
89196ba6aabffff,0
89196ba7167ffff,0
89196b06503ffff,0
89196ba5e6fffff,0
89196b05c2fffff,0
89196ba0a53ffff,0
89196b04103ffff,0
89196baea47ffff,0
89196b169afffff,0
89196b14bcbffff,0
89196ba658fffff,0
89196b36553ffff,0
891969692a7ffff,0
89196bad123ffff,0
89196bab5c3ffff,0
89196b0e90fffff,0
89196b14c2fffff,0
89196b320c7ffff,0
8919696985bffff,0
89196ba1d3bffff,0
89196b366c7ffff,0
89196bb5dafffff,0
89196b069c3ffff,0
89196ba8a4fffff,0
89196b328b3ffff,0
89196bab627ffff,0
8919696924fffff,0
89196baf203ffff,0
89196bac5d3ffff,0
89196baaecfffff,0
89196ba1b77ffff,0
89196b15937ffff,0
89196969843ffff,1
89196bad203ffff,0
891969682d3ffff,0
89196b33497ffff,0
89196b14d7bffff,0
89196ba807bffff,0
89196baa50fffff,0
89196bac9d7ffff,0
891fa4922cbffff,0
89196ba5853ffff,0
89196968ec7ffff,0
89196969e7bffff,0
89196b32947ffff,0
89196ba5947ffff,0
89196b0642bffff,0
89196b32943ffff,0
89196bad13bffff,0
89196ba1e0fffff,0
89196ba73afffff,0
89196b06b73ffff,0
89196baed63ffff,0
89196baf2c3ffff,0
89196ba110fffff,0
89196bac8afffff,0
89196ba5593ffff,0
89196ba9d4fffff,0
89196ba19c3ffff,1
89196b06983ffff,0
89196baeb47ffff,0
89196bab00fffff,0
89196b06937ffff,0
89196ba54cbffff,0
89196bb5db3ffff,0
891fa4924cfffff,0
89196baf13bffff,0
89196b0414fffff,0
89196b05cc7ffff,0
89196ba80b7ffff,0
89196ba94afffff,0
89196baac2fffff,0
89196ba42a7ffff,0
89196baca87ffff,0
89196ba6ec3ffff,0
89196b334a7ffff,0
89196ba52d7ffff,0
89196bace73ffff,0
89196ba8807ffff,0
89196ba5687ffff,0
89196bb598bffff,0
89196ba1edbffff,0
89196ba4943ffff,0
89196ba1bafffff,0
89196b14857ffff,0
891fa49263bffff,0
89196bb5923ffff,0
89196baa347ffff,0
89196b33683ffff,0
89196ba1813ffff,0
89196b32143ffff,0
89196ba53cbffff,0
89196bac09bffff,0
89196baa8cbffff,0
89196ba52d3ffff,0
89196b04ed3ffff,0
89196b0582bffff,0
89196b3299bffff,0
89196b1697bffff,0
89196ba45b3ffff,0
89196bab42fffff,0
89196bae0cbffff,0
89196ba6597ffff,0
89196b3232fffff,0
89196b06397ffff,0
89196969997ffff,0
89196b05b83ffff,0
89196bab0bbffff,0
89196ba761bffff,0
89196ba52c7ffff,0
89196b06a13ffff,0
89196ba9177ffff,0
89196bac993ffff,0
89196bae0b3ffff,0
89196bacd03ffff,0
89196b05d33ffff,0
89196b05e47ffff,0
89196ba6e2fffff,0
89196ba714fffff,0
89196baae83ffff,0
89196bb5a2bffff,0
89196ba740bffff,0
89196ba0107ffff,0
89196ba7383ffff,0
891fa496403ffff,0
891fa4920c3ffff,0
89196b05a53ffff,0
89196ba7317ffff,0
89196bac957ffff,0
89196ba5a23ffff,0
89196ba8d4fffff,0
89196ba1327ffff,0
89196bab45bffff,0
891969683b3ffff,0
89196baa277ffff,0
89196bae453ffff,0
89196b16987ffff,0
89196ba6ecbffff,0
89196bae3a3ffff,0
89196bacaa3ffff,0
89196b04557ffff,0
89196bad0dbffff,0
89196baed4bffff,0
89196b0e92fffff,0
89196ba283bffff,0
89196baeb9bffff,0
89196ba71dbffff,0
89196ba19cfffff,0
89196baea1bffff,0
89196ba193bffff,0
89196ba5a73ffff,0
89196bb4b33ffff,0
89196b042abffff,0
89196bad467ffff,0
89196baf0abffff,0
89196baf213ffff,0
89196b06d7bffff,0
89196ba84d7ffff,0
89196badcd7ffff,0
89196b05cbbffff,0
89196bad433ffff,0
89196ba619bffff,0
89196ba68afffff,0
89196b322a3ffff,0
89196b0637bffff,0
891fa4935d7ffff,0
8919696832bffff,0
89196bad0b3ffff,0
89196bace2bffff,0
89196baddc7ffff,0
89196ba40cbffff,0
89196b3266fffff,0
891fa4961b3ffff,0
89196ba1247ffff,0
89196b04acfffff,0
89196ba5a4bffff,0
891fa493497ffff,0
89196bb43cfffff,0
89196ba758bffff,0
89196ba666bffff,0
89196968527ffff,0
89196ba9a97ffff,0
89196ba90abffff,0
89196ba9817ffff,0
89196ba6947ffff,0
89196baeeb7ffff,0
89196bac55bffff,0
89196baa94fffff,0
89196ba69abffff,0
89196ba8ad3ffff,0
89196bac023ffff,0
89196ba76afffff,0
89196b04ac7ffff,0
89196b0428bffff,0
89196bae837ffff,0
89196968a5bffff,0
89196baf277ffff,0
89196baa427ffff,0
89196b365cbffff,0
89196baf0b3ffff,0
89196b06c03ffff,0
89196bb494fffff,0
89196ba62d7ffff,0
89196baaa1bffff,0
89196b33177ffff,0
89196b0485bffff,0
89196bae26bffff,0
89196bb4e47ffff,0
89196ba438fffff,0
89196b04317ffff,0
8919696aac7ffff,0
89196ba184fffff,0
89196ba829bffff,0
89196baed57ffff,0
89196ba4b5bffff,0
89196bae3c3ffff,0
89196ba504bffff,0
89196badc33ffff,0
89196b06d97ffff,0
89196bb4a9bffff,0
8919696819bffff,0
89196ba1b7bffff,0
89196b06e6bffff,0
89196ba2aabffff,0
89196bacb17ffff,0
89196bad133ffff,0
89196968a47ffff,0
89196ba644bffff,0
891fa4966afffff,0
89196ba0933ffff,0
89196b06db3ffff,0
89196b06ec7ffff,0
89196bab073ffff,0
89196bab32bffff,0
89196bb4ecfffff,0
89196ba9b4fffff,0
89196baeb83ffff,0
89196ba8607ffff,0
89196b37483ffff,0
89196baf16fffff,0
8919696ae37ffff,0
89196ba6c97ffff,0
89196bae923ffff,0
89196ba85a3ffff,0
89196bb59b7ffff,0
89196ba0b93ffff,0
8919696ad03ffff,0
89196ba503bffff,0
89196ba8823ffff,0
89196ba5dc7ffff,0
89196baa90fffff,0
89196ba9d0bffff,0
89196bad573ffff,0
89196969047ffff,0
89196ba54b7ffff,0
89196969947ffff,0
89196ba95afffff,0
89196968153ffff,0
89196ba097bffff,0
891969680abffff,0
89196baad97ffff,0
89196b06e87ffff,0
89196baf0d3ffff,0
891969690cfffff,0
89196ba1ab7ffff,0
89196baf56fffff,0
89196ba817bffff,0
89196bac687ffff,0
8919696957bffff,0
89196ba8b63ffff,0
89196ba89b7ffff,0
89196bae06fffff,0
89196969c0bffff,0
89196b36083ffff,0
89196ba884fffff,0
891fa4961d7ffff,0
89196ba73c7ffff,0
89196badeb7ffff,0
89196b3a6dbffff,0
89196b06b8bffff,0
89196ba0b23ffff,0
89196969ebbffff,0
89196969d13ffff,0
89196baed2bffff,0
89196ba5427ffff,0
