hex9,value
89196b84597ffff,100928.40587441904
89196b84a43ffff,259770.23806123482
89196bb5ba7ffff,246150.00923435861
8919695b363ffff,265265.54053075064
89196b84c77ffff,265907.6941076355
89196ba252bffff,267106.2686422111
89196bb833bffff,1789.1009212543581
89196bba427ffff,178172.77379956353
89196959ecfffff,265438.2238822908
8919694e087ffff,69301.56639838405
89196bbb4b3ffff,235185.62290874793
8919694b66fffff,19287.590881331227
89196bab683ffff,266151.49825487187
89196bb065bffff,31545.11256763363
891969495abffff,265878.40795399714
89196ba3597ffff,165900.16761035152
89196bb4307ffff,3959.4478053057837
89196bb52cfffff,72378.87301809234
8919694a41bffff,142533.5186514802
89196969047ffff,155709.26991051392
89196bb5873ffff,267614.66180587595
89196b06d67ffff,58551.83633432048
89196949b2fffff,227118.73488449887
8919694c167ffff,259732.53301413194
89196bbb54fffff,256933.62309825973
8919694b353ffff,46770.005926297155
89196b3200fffff,267088.0045650322
89196bb5b97ffff,267683.96153653855
89196bb8d0bffff,38864.790627964736
89196bb2557ffff,266516.81870666833
8919694c14fffff,267115.0910476477
89196ba0183ffff,80035.4282977185
8919694d5bbffff,266823.8703178718
89196b86b67ffff,265980.6236170206
89196bb0863ffff,266929.37046531145
89196bb5e87ffff,267483.3764025555
8919697ab2fffff,179336.4445421613
8919694143bffff,261910.48777180692
89196bb10c3ffff,262468.7586527316
89196b94917ffff,166844.16355892384
89196bb22a3ffff,266458.09012032754
89196941113ffff,6.728957888026804
89196bb260bffff,266337.52499107725
89196baaa4bffff,148031.90427474774
89196941887ffff,33599.92613244004
8919696a4d7ffff,124207.54031325504
89196ba33b7ffff,156841.1866680932
89196960507ffff,166924.15938643157
89196979923ffff,619.3791887079265
89196bb752bffff,34916.317514391354
89196bb440bffff,163971.87330495252
89196958bdbffff,6191.002603313369
89196b85a8bffff,120193.25566944608
89196b842b7ffff,108939.36409926321
89196bb4e73ffff,267739.9276989148
89196b84157ffff,230192.31321989733
89196bba1b7ffff,68568.15167057197
89196968453ffff,191536.42962629494
8919694ac33ffff,266273.13795388176
89196949dd3ffff,1780.1675497265828
89196ba6587ffff,267760.93455754564
89196ba3147ffff,266859.504479149
89196ba0037ffff,267146.84909185796
89196ba307bffff,72693.12283701521
89196b8458fffff,20378.668191738063
89196b85867ffff,265730.96135925676
89196ba18a3ffff,267210.6079909215
89196bb52b3ffff,46207.71947500348
89196bb71b7ffff,228060.3964364389
89196ba2cafffff,215930.52404402668
89196bb5ab7ffff,238778.5953288991
89196b8426fffff,265574.0786801683
89196bbb577ffff,37964.986280741454
891969400d3ffff,266420.42013360385
89196bb7447ffff,27983.618612578
89196958833ffff,265912.20667481655
89196bb0637ffff,266491.30833165144
89196bb5537ffff,267386.16399574466
89196969287ffff,235380.96273023437
89196bb26d3ffff,228566.83138575923
89196b86a6fffff,265835.22824970033
891969495a3ffff,211364.0855865917
8919696365bffff,42330.74037917878
89196bb5dbbffff,111.83034651011118
89196bb509bffff,69822.7830612181
8919694b04bffff,124273.3959213676
89196b94113ffff,7238.643027660457
89196ba1dc3ffff,267186.401035842
89196bbb57bffff,265839.7621918339
89196bb08afffff,266965.0849855203
89196bb713bffff,257143.0098984561
8919694b2abffff,154129.3520215613
89196b86877ffff,265895.79628050065
89196940e6bffff,71965.6647889063
89196bbb2cfffff,211865.82245487286
89196bb7603ffff,263012.53067402064
89196bb0c8fffff,187494.38493606698
89196bbb187ffff,537.3501717124859
89196b85d5bffff,265704.903691215
89196961097ffff,95668.1687801251
89196bb0b27ffff,267060.5554789223
89196b06d17ffff,149105.8068987535
89196bb2a97ffff,4281.395845833703
89196bba213ffff,117910.68779759838
89196b858dbffff,58230.77803722729
891969488b7ffff,61348.16991615811
89196b85823ffff,265748.82167692226
89196bb44cbffff,110837.84943921182
89196b96137ffff,265201.2893018539
89196bb257bffff,189497.52142509713
891969698cbffff,56882.82074166926
89196bb88b3ffff,38655.87621936275
8919694ad63ffff,266383.215916976
891969492c3ffff,86111.74643272934
8919696a4cfffff,189532.15038395365
89196969167ffff,260313.14940354723
89196ba1c57ffff,202254.46002627164
891969600bbffff,268940.5466002024
89196bb3277ffff,266180.75714437367
89196bb590fffff,265396.27804766176
89196bb4233ffff,267503.4972934531
89196ba748bffff,198553.95876728045
8919694da0fffff,267040.47827652947
89196ba6453ffff,265044.8775111018
89196bb2613ffff,266335.7843884707
8919696b30bffff,268202.91730408854
89196bb2097ffff,76617.52352043748
89196ba2dcfffff,148267.07457231457
8919694c67bffff,266861.13008695876
89196ba311bffff,266857.90503677004
891969589dbffff,2482.080991067126
89196b9418bffff,14700.882663645476
89196baa9b3ffff,267073.9346743858
89196bb532fffff,124079.46033268889
89196943333ffff,8863.978519275557
89196bb493bffff,254754.7820230972
89196b85d47ffff,265743.8910501168
89196978dd7ffff,165790.3570827801
89196bb83cfffff,155705.01530326915
89196ba58d3ffff,253936.38824244472
8919694acb7ffff,155168.19321332366
89196b84ca7ffff,265943.3170517715
89196ba302fffff,266800.8969439446
89196b9418fffff,137890.913372131
89196949ccfffff,258741.54246686035
8919694a4cfffff,32368.112612487577
89196bb0b37ffff,267049.951121599
89196bba54bffff,266062.4704213602
89196bb0ccfffff,69091.52114963326
8919694b667ffff,257144.0546385939
89196969107ffff,263045.40641275875
89196bb6b17ffff,40156.1633811621
89196bace83ffff,87333.29656307987
89196bb5393ffff,83275.7266716358
89196bb2dafffff,39779.62300342142
8919694ed43ffff,28906.94972769136
89196b86847ffff,14991.599456452364
89196bb68afffff,254261.63837869407
89196b8433bffff,265717.7601628128
89196bb8ec7ffff,242.37248448509055
89196bb8803ffff,266478.3868969139
89196ba2543ffff,149084.80188829542
89196bb46dbffff,39023.64194721213
89196bb75c7ffff,267210.9407703754
89196bb32bbffff,25324.564338167926
89196ba33b3ffff,266841.56262905337
89196ba33cbffff,266756.03831845685
89196b96eb3ffff,265243.8992547839
89196941b1bffff,146392.9025687778
891969694abffff,70107.7917967701
89196bb1b33ffff,43.04438735179822
89196bb5a33ffff,80816.8706674542
89196b843c7ffff,101020.08176281906
8919696944fffff,268122.44546575175
89196ba1497ffff,88.7025103888437
89196b86b17ffff,265957.71710223204
89196969e77ffff,248921.45785690472
89196bba0a3ffff,264176.56556556036
89196b86d8bffff,82025.45536716681
89196bb70a3ffff,267216.1278395163
8919694aa67ffff,131.93268107222107
89196bad60fffff,267214.88934081345
89196ba2037ffff,9734.141609964448
8919694504fffff,163543.06029993293
89196bb1407ffff,156365.67855173
89196bb5e0bffff,267467.1351786101
89196bbb1a3ffff,265958.3711655715
89196b32017ffff,106716.92108839829
89196b94833ffff,265479.7946105474
8919694cc0bffff,267269.6237829418
8919694a9b7ffff,266491.4659178605
8919694017bffff,3796.168476860128
89196b84213ffff,227268.63165482657
89196bab453ffff,266178.5289886617
89196ba2243ffff,220016.69168410412
89196bb29a7ffff,41921.43516999212
89196bb2817ffff,3368.686613709837
89196ba2567ffff,267097.31970545556
89196bbad9bffff,266321.7951256288
891969694afffff,217875.4608811062
89196ba8b27ffff,216806.70216563705
8919694ae23ffff,54558.26139861308
89196b86193ffff,265640.89510468964
89196b85d23ffff,265811.29976669897
89196b84b0bffff,246126.0227322508
89196959e07ffff,143056.30119167204
89196bb324fffff,266132.82808303443
8919696946bffff,268152.6593770074
89196969183ffff,221179.66096816357
89196ba241bffff,241957.6999901115
8919694c027ffff,267074.20452533197
891969593afffff,265388.60497262824
8919696334bffff,17186.242529263727
89196bb73d3ffff,267192.8077648774
8919696a493ffff,182004.51056098405
89196978437ffff,221208.27527648472
89196ba1d27ffff,106415.4333542549
8919694c237ffff,45034.45313157813
89196941893ffff,137103.4784765898
89196b84d5bffff,265966.1958232417
89196bba0c7ffff,266016.1531442063
89196ba2197ffff,267136.4095246671
89196ba8197ffff,259250.9255214726
89196bb7047ffff,46473.62600112276
89196bb242fffff,6955.168583078268
8919694c563ffff,267079.43391644186
89196bb857bffff,266186.69795991346
89196ba29bbffff,159764.5339458398
89196b3207bffff,227782.13221993326
89196bb40c7ffff,267496.7074164719
89196bb12cbffff,266186.8187105727
89196bb5e27ffff,31874.633039816224
891969784d3ffff,101785.57261280833
89196ba25cfffff,225673.03751465207
89196b94bd7ffff,10524.332512711637
89196b949bbffff,265541.90820963884
89196b94857ffff,265412.5052749299
89196ba8183ffff,266771.7434328508
89196b85a13ffff,153118.71240440386
891969490b3ffff,265814.62756309845
8919696928bffff,17074.025469897642
89196bb5907ffff,15675.940059943716
8919694046bffff,62259.77741385083
89196bb86cfffff,265955.7630392152
89196bb14abffff,86519.18508937061
89196bb538bffff,267317.9915817555
89196bac217ffff,193308.82741522044
89196bb421bffff,1679.5632536457013
89196bb7083ffff,46939.71213446343
89196bb2053ffff,266435.1025087623
89196ba088fffff,54839.02054741033
89196b8400bffff,3472.6254543362866
89196979623ffff,8005.3165015780705
8919696a6d3ffff,5647.92536139498
89196bb4e83ffff,6564.838646288566
89196bb90dbffff,226551.23814426424
89196bb102fffff,266368.0781802889
89196969497ffff,210422.04776761346
89196bad65bffff,267147.17536289326
89196bb083bffff,141770.5969721183
89196ba3183ffff,30245.02461032666
8919694868fffff,265910.2183394879
89196bb4ad7ffff,55882.444911855906
89196bba5d3ffff,266048.61515834875
89196ba0007ffff,262957.9626157745
89196949523ffff,30423.0093624995
8919694eb47ffff,86828.8753142639
89196ba32bbffff,57734.717166085204
8919694b12fffff,16300.266656129112
89196ba2497ffff,214737.72677699145
89196bb130bffff,266373.02708841517
89196969e3bffff,38395.16216350778
89196ba65bbffff,268041.88662684825
89196bb22cfffff,261482.76505823742
89196ba1a4fffff,218441.52591692156
89196bb306bffff,237321.2700916765
89196bb8e3bffff,224149.78791316756
89196bb0abbffff,22330.58937254253
89196978b5bffff,77143.35214857412
89196bb35c7ffff,131106.68240292088
89196ba038bffff,267141.0318734559
89196bb1023ffff,266357.4908902584
89196bb32d3ffff,266099.3442354647
89196bb750fffff,6599.547076118434
891969411cfffff,266318.586480874
89196bb4083ffff,267514.5555099778
89196969147ffff,268342.91411332594
8919694a103ffff,1.83427792515208
89196bb580fffff,246456.9909181054
89196b86bb3ffff,253989.23149718172
89196bb1393ffff,206266.55877202906
89196bba2d3ffff,441.43755974219494
8919696b5c7ffff,236078.8686658062
8919696952fffff,268346.8140960006
891969493d7ffff,265821.6868589538
8919696968fffff,254325.2536755234
89196bb33dbffff,266226.99745924165
89196bb896fffff,40096.95612946791
89196bb630bffff,182135.07530561698
89196962273ffff,148257.2751577459
89196bb010fffff,266716.6907736452
89196bb166fffff,6034.37404456936
89196bb7077ffff,267200.0167144161
89196bab687ffff,238817.87998467218
89196b945a3ffff,151709.89353650517
