hex9,value
89196b05907ffff,1
89196ba91cbffff,1
89196b365a7ffff,1
89196ba8c5bffff,1
89196ba881bffff,1
89196b06bcfffff,1
89196b16bcfffff,1
891fa492463ffff,1
89196b30473ffff,1
89196ba9027ffff,1
89196b32d6fffff,1
89196b330bbffff,1
89196b05b17ffff,1
89196b16b5bffff,1
89196bae3cfffff,1
89196ba8883ffff,1
89196b04d0fffff,1
89196b33293ffff,1
89196ba8933ffff,1
89196b375d3ffff,1
89196b14887ffff,1
891fa49229bffff,1
89196b32a33ffff,1
89196ba9c5bffff,1
89196b336bbffff,1
89196b33117ffff,1
89196b14863ffff,1
89196b300cfffff,1
89196bacda3ffff,1
89196b3656bffff,1
89196b05c53ffff,1
89196b06577ffff,1
89196baf217ffff,1
89196ba8d2bffff,1
89196b06963ffff,1
89196b05927ffff,1
89196b05903ffff,1
89196ba9087ffff,1
89196b334d3ffff,1
89196b32843ffff,1
891fa49221bffff,1
89196b32a17ffff,1
89196b36663ffff,1
89196b05a0bffff,1
89196bb9a13ffff,1
89196baac87ffff,1
89196ba9c03ffff,1
89196ba96c3ffff,1
89196b3b4dbffff,1
89196b32b93ffff,1
89196ba92d7ffff,1
89196b05b9bffff,1
89196b06b77ffff,1
89196b05d0bffff,1
89196b06527ffff,1
89196b375d7ffff,1
89196b30157ffff,1
89196b05e6bffff,1
89196b3342bffff,1
89196ba9633ffff,1
89196b32a9bffff,1
89196b1695bffff,1
89196b04e73ffff,1
89196baf643ffff,1
89196baaca3ffff,1
89196b36537ffff,1
89196ba8847ffff,1
89196b05b77ffff,1
89196b16b53ffff,1
89196ba967bffff,1
89196b04843ffff,1
89196b060d3ffff,1
891fa492447ffff,1
89196b14e2bffff,1
89196b04e6fffff,1
89196ba9c2fffff,1
89196b05823ffff,1
89196b336d3ffff,1
89196b04e83ffff,1
89196b04287ffff,1
89196b05e67ffff,1
89196ba9023ffff,1
89196ba4da3ffff,1
89196b300bbffff,1
89196ba812bffff,1
89196b05b13ffff,1
89196b061c3ffff,1
89196ba9d37ffff,1
89196ba898fffff,1
89196b3366fffff,1
89196ba444fffff,1
89196b05aa3ffff,1
89196badb2fffff,1
89196b04a5bffff,1
89196b04a73ffff,1
89196b0602fffff,1
89196ba835bffff,1
89196b3280bffff,1
89196b06b87ffff,1
89196b14877ffff,1
89196b14ac3ffff,1
89196b064dbffff,1
891fa4922c3ffff,1
89196b3a6a7ffff,1
89196b06403ffff,1
89196b3b4b7ffff,1
89196b059cbffff,1
89196b36057ffff,1
89196b3654fffff,1
89196b30117ffff,1
89196b32867ffff,1
89196b04a57ffff,1
89196b06463ffff,1
89196baf2bbffff,1
89196b14e2fffff,1
89196b0650bffff,1
89196b05d6bffff,1
89196b05877ffff,1
89196b148d3ffff,1
89196ba8adbffff,1
89196ba8dcbffff,1
89196b335cbffff,1
89196b14bc7ffff,1
89196b05e73ffff,1
89196b1497bffff,1
89196b336cbffff,1
89196b14ab7ffff,1
89196b15d27ffff,1
89196b1483bffff,1
89196b05123ffff,1
89196b06bb3ffff,1
89196ba8267ffff,1
89196b04c6fffff,1
89196b04ac3ffff,1
89196b0512bffff,1
89196b33543ffff,1
891fa49246fffff,1
89196ba9e97ffff,1
89196badb4fffff,1
89196b16b03ffff,1
89196b360d7ffff,1
89196b0644fffff,1
89196ba9c73ffff,1
89196ba8953ffff,1
89196ba8ebbffff,1
89196b374a7ffff,1
89196ba911bffff,1
89196bae153ffff,1
89196ba816fffff,1
89196b04ca3ffff,1
89196b14a7bffff,1
89196b3b49bffff,1
89196b04a0bffff,1
89196b06503ffff,1
89196ba9077ffff,1
89196ba9d23ffff,1
89196b336b7ffff,1
89196ba88b7ffff,1
89196b301d7ffff,1
89196b14e27ffff,1
89196b14bcbffff,1
89196b06943ffff,1
89196b06bcbffff,1
89196b36553ffff,1
89196ba8897ffff,1
89196ba916fffff,1
89196ba9c67ffff,1
89196b0e90fffff,1
89196b14813ffff,1
89196baa50bffff,1
89196b366c7ffff,1
89196b069c3ffff,1
89196baf203ffff,1
89196b3054bffff,1
89196badb6fffff,1
89196b15937ffff,1
89196b06193ffff,1
89196baa40fffff,1
89196badb83ffff,1
89196b06b9bffff,1
891fa493447ffff,1
89196b048d7ffff,1
89196b32833ffff,1
89196bb4a4bffff,1
891fa4922cbffff,1
89196ba89cbffff,1
89196b32947ffff,1
89196ba8353ffff,1
89196b0642bffff,1
89196b32943ffff,1
89196b04c13ffff,1
89196baa443ffff,1
89196b06b73ffff,1
89196b0e903ffff,1
89196baf2c3ffff,1
89196b05adbffff,1
89196b16a27ffff,1
89196b0695bffff,1
89196ba8ec3ffff,1
891fa4935cbffff,1
89196b06937ffff,1
891fa4924cfffff,1
89196b042bbffff,1
89196ba9c3bffff,1
89196b05b07ffff,1
89196b331abffff,1
89196b3b41bffff,1
89196b0691bffff,1
89196b1488fffff,1
89196b14b6bffff,1
89196b32877ffff,1
89196ba8133ffff,1
89196ba92c3ffff,1
89196b0512fffff,1
89196ba885bffff,1
89196b05933ffff,1
89196b32857ffff,1
89196ba9ccfffff,1
89196ba8833ffff,1
89196ba8807ffff,1
89196b05b4fffff,1
89196ba8d0bffff,1
89196b14857ffff,1
891fa49340bffff,1
89196ba8e83ffff,1
89196ba832bffff,1
89196b04083ffff,1
89196b33683ffff,1
89196b0619bffff,1
89196b040d3ffff,1
89196ba9337ffff,1
89196b0ed27ffff,1
89196b3299bffff,1
89196b0582bffff,1
89196b0e917ffff,1
89196b14ba3ffff,1
89196b06397ffff,1
89196b06563ffff,1
891fa4920cbffff,1
89196b05b83ffff,1
89196ba9177ffff,1
89196b16bc3ffff,1
89196ba813bffff,1
89196b3350fffff,1
89196ba822bffff,1
89196b05d33ffff,1
89196b30533ffff,1
89196ba89a3ffff,1
89196b040cbffff,1
89196b05e47ffff,1
89196b366a7ffff,1
89196b0e93bffff,1
89196baf20fffff,1
891fa4920c3ffff,1
89196b05a53ffff,1
89196ba8d4fffff,1
89196ba9113ffff,1
89196badb27ffff,1
89196b0480bffff,1
89196ba8c43ffff,1
89196b16987ffff,1
89196ba9d17ffff,1
89196b336b3ffff,1
89196b335cfffff,1
89196ba9d97ffff,1
89196b06467ffff,1
89196b0e92fffff,1
891fa492093ffff,1
89196ba9c63ffff,1
891fa493407ffff,1
89196b05dafffff,1
89196baf213ffff,1
89196ba9107ffff,1
89196ba9dbbffff,1
89196b04a83ffff,1
89196ba8e63ffff,1
89196b3a4cfffff,1
89196b05807ffff,1
89196b0603bffff,1
89196b065afffff,1
89196b0637bffff,1
89196b0595bffff,1
89196b32ac3ffff,1
89196ba9607ffff,1
89196ba1247ffff,1
89196b04acfffff,1
89196b331d7ffff,1
89196b04463ffff,1
89196b05b63ffff,1
89196b0e963ffff,1
89196ba90abffff,1
89196b05a0fffff,1
89196b32a3bffff,1
89196ba8263ffff,1
89196b0484bffff,1
89196ba8ad3ffff,1
89196ba91dbffff,1
891fa49350fffff,1
89196b04ac7ffff,1
89196b0428bffff,1
89196b3b597ffff,1
89196b30403ffff,1
89196baf277ffff,1
89196baa427ffff,1
891fa49241bffff,1
89196b36627ffff,1
89196b06c03ffff,1
89196b3a453ffff,1
89196b33177ffff,1
89196b0485bffff,1
89196ba96b7ffff,1
89196b3a643ffff,1
89196b04d4bffff,1
89196b3a4c7ffff,1
89196badb23ffff,1
89196b1484bffff,1
89196b06457ffff,1
89196b32863ffff,1
89196ba6e9bffff,1
89196ba468bffff,1
89196b059bbffff,1
89196b3346fffff,1
89196b04e0bffff,1
89196ba8c47ffff,1
89196b37483ffff,1
