hex9,value
89196b05907ffff,1
89196ba91cbffff,1
89196b365a7ffff,1
89196b06ecbffff,1
89196baee7bffff,1
89196ba8c5bffff,1
89196b05d4fffff,1
89196b148cfffff,1
89196ba881bffff,1
89196b06bcfffff,1
891fa496187ffff,1
89196ba597bffff,1
89196ba40b3ffff,1
891fa492463ffff,1
89196b30473ffff,1
89196baeab7ffff,1
891fa4974a3ffff,1
89196b330bbffff,1
89196b05b17ffff,1
89196bac3b3ffff,1
891fa496643ffff,1
89196baeb6fffff,1
89196ba922fffff,1
89196b04d0fffff,1
89196ba8883ffff,1
89196b33293ffff,1
8919696aa8bffff,1
89196ba8933ffff,1
89196b06133ffff,1
89196b375d3ffff,1
89196ba4933ffff,1
89196b14887ffff,1
891fa49229bffff,1
89196b149c7ffff,1
89196b32a33ffff,1
89196ba9c5bffff,1
89196b336bbffff,1
89196b33117ffff,1
89196b14863ffff,1
89196b300cfffff,1
89196ba59a7ffff,1
8919696aeb3ffff,1
89196baebb3ffff,1
89196b14db3ffff,1
89196bacda3ffff,1
89196b3656bffff,1
89196b05c53ffff,1
89196b06577ffff,1
89196baf217ffff,1
89196ba492fffff,1
89196bac0a3ffff,1
89196ba8d2bffff,1
8919696ac3bffff,1
891fa492523ffff,1
89196b06963ffff,1
89196b05927ffff,1
89196b14c7bffff,1
891fa492553ffff,1
89196bae92fffff,1
89196b05903ffff,1
89196ba9087ffff,1
89196b334d3ffff,1
89196b32843ffff,1
891fa496c17ffff,1
89196bae94bffff,1
8919696aad7ffff,1
891fa49618fffff,1
891fa49221bffff,1
89196b32a17ffff,1
89196bae907ffff,1
89196b14e3bffff,1
89196b36663ffff,1
89196b05a0bffff,1
89196bac5bbffff,1
891fa492dcfffff,1
89196bac087ffff,1
89196b14917ffff,1
89196ba96c3ffff,1
89196b3b4dbffff,1
89196b0630fffff,1
89196b16b4bffff,1
89196ba9c03ffff,1
89196b32b93ffff,1
89196ba92d7ffff,1
89196b05b9bffff,1
89196b14dd3ffff,1
89196bac66bffff,1
89196b06b77ffff,1
89196bad5dbffff,1
89196b05d0bffff,1
89196b06527ffff,1
89196baebcfffff,1
89196b30157ffff,1
89196baf02fffff,1
89196bac1c3ffff,1
89196b375d7ffff,1
89196ba4c5bffff,1
8919696994fffff,1
89196baf147ffff,1
89196baeb67ffff,1
89196b05e6bffff,1
89196b3342bffff,1
89196bad4b7ffff,1
89196ba40c7ffff,1
89196ba9e4fffff,1
89196ba9633ffff,1
89196ba1b67ffff,1
89196b32a9bffff,1
89196b1695bffff,1
89196baf177ffff,1
89196b04e73ffff,1
89196baf16bffff,1
89196baf327ffff,1
89196b06e4bffff,1
89196b36537ffff,1
89196b05b77ffff,1
89196ba8847ffff,1
89196b14d6bffff,1
89196ba920bffff,1
89196ba967bffff,1
89196baf353ffff,1
89196ba4917ffff,1
891969685b7ffff,1
89196baf39bffff,1
89196ba9273ffff,1
89196b04573ffff,1
89196b04843ffff,1
89196ba497bffff,1
89196b060d3ffff,1
89196ba6a5bffff,1
89196969bafffff,1
891fa492447ffff,1
89196b14e2bffff,1
89196bae80bffff,1
89196b04e6fffff,1
89196ba9c2fffff,1
89196ba5b07ffff,1
89196ba593bffff,1
89196bac06fffff,1
89196b05823ffff,1
89196b336d3ffff,1
89196bac437ffff,1
89196b04e83ffff,1
89196b04287ffff,1
89196b05e67ffff,1
89196ba9023ffff,1
89196bae963ffff,1
891fa496077ffff,1
89196b06cdbffff,1
8919696adbbffff,1
89196b300bbffff,1
89196ba812bffff,1
89196b05b13ffff,1
89196b061c3ffff,1
89196ba9d37ffff,1
89196ba4147ffff,1
89196ba943bffff,1
89196baf4a7ffff,1
89196b14d57ffff,1
89196ba442fffff,1
89196ba9563ffff,1
891fa496133ffff,1
89196ba898fffff,1
89196baf307ffff,1
89196969ba7ffff,1
89196b3366fffff,1
89196baee6bffff,1
89196b05aa3ffff,1
89196b0400bffff,1
89196bac663ffff,1
89196b04a5bffff,1
89196badb2fffff,1
89196ba49b3ffff,1
89196bac457ffff,1
89196b04a73ffff,1
89196b0602fffff,1
89196bab653ffff,1
89196ba835bffff,1
89196b3280bffff,1
8919696ae47ffff,1
89196baf393ffff,1
89196ba4c03ffff,1
89196b06d9bffff,1
89196b06b87ffff,1
89196b14877ffff,1
89196b14ac3ffff,1
89196b064dbffff,1
891fa4922c3ffff,1
89196b1490bffff,1
89196b3a6a7ffff,1
89196ba40cfffff,1
89196ba98c3ffff,1
89196b06403ffff,1
89196b3b4b7ffff,1
89196b36057ffff,1
891fa492d2bffff,1
89196b3654fffff,1
891fa4974d3ffff,1
89196bac623ffff,1
891fa4929b3ffff,1
89196b30117ffff,1
8919696990bffff,1
89196b32867ffff,1
89196b04a57ffff,1
89196b06463ffff,1
89196baf2bbffff,1
89196b14e2fffff,1
89196ba5b87ffff,1
89196b0650bffff,1
89196ba438bffff,1
89196b05d6bffff,1
89196b0588fffff,1
89196b05877ffff,1
89196ba4b7bffff,1
89196b148d3ffff,1
89196b0633bffff,1
89196ba8adbffff,1
89196ba8dcbffff,1
89196b335cbffff,1
89196ba40b7ffff,1
8919696ae07ffff,1
89196b14bc7ffff,1
89196961e5bffff,1
89196b05e73ffff,1
89196baea33ffff,1
89196ba5a63ffff,1
89196b1497bffff,1
89196b336cbffff,1
89196b14ab7ffff,1
89196b15d27ffff,1
89196b1483bffff,1
89196b14933ffff,1
89196b05123ffff,1
89196b06bb3ffff,1
89196ba8267ffff,1
89196968e9bffff,1
89196bae847ffff,1
89196ba5b4fffff,1
89196b148afffff,1
89196b04c6fffff,1
89196b0636fffff,1
89196b04ac3ffff,1
89196bacddbffff,1
89196b0512bffff,1
89196ba6a6bffff,1
89196ba9e0bffff,1
89196b33543ffff,1
891fa49246fffff,1
89196ba9e97ffff,1
89196badb4fffff,1
89196b360d7ffff,1
89196b0644fffff,1
89196ba400fffff,1
89196ba9e7bffff,1
891fa49601bffff,1
89196ba9c73ffff,1
89196ba8953ffff,1
89196baeb87ffff,1
89196ba8ebbffff,1
891fa4961a7ffff,1
89196b374a7ffff,1
89196ba911bffff,1
89196ba412bffff,1
89196baea57ffff,1
8919696ad47ffff,1
89196baeb53ffff,1
89196b14953ffff,1
89196ba4537ffff,1
89196ba4077ffff,1
89196baf3afffff,1
89196ba816fffff,1
89196b04ca3ffff,1
891fa492483ffff,1
89196b14a7bffff,1
89196bacc83ffff,1
89196ba5933ffff,1
89196b3b49bffff,1
89196b04a0bffff,1
89196b06503ffff,1
89196ba9077ffff,1
89196ba9d23ffff,1
89196bae94fffff,1
89196b336b7ffff,1
89196ba88b7ffff,1
89196ba43b3ffff,1
89196baea47ffff,1
89196b301d7ffff,1
89196bab66bffff,1
89196968e93ffff,1
89196b14e27ffff,1
89196b14bcbffff,1
89196b06943ffff,1
89196b06bcbffff,1
89196b36553ffff,1
89196ba8897ffff,1
89196ba916fffff,1
89196b0e90fffff,1
89196ba9c67ffff,1
89196b14943ffff,1
89196b14813ffff,1
89196b14c2fffff,1
89196b366c7ffff,1
89196b069c3ffff,1
89196bac153ffff,1
89196bacc37ffff,1
89196baf203ffff,1
89196bac5d3ffff,1
89196badb6fffff,1
89196b15937ffff,1
89196ba2b67ffff,1
89196b06193ffff,1
891fa492d13ffff,1
89196bac4afffff,1
891fa496297ffff,1
89196b06b9bffff,1
89196ba40dbffff,1
89196b14e73ffff,1
89196b04367ffff,1
891fa493447ffff,1
89196b048d7ffff,1
89196bac527ffff,1
89196b14d7bffff,1
89196b32833ffff,1
89196baf173ffff,1
891fa4922cbffff,1
